Question,searched chunks,expected top-k chunks to be searched,Top-K searched chunks,accuracy_metric
چگونه می‌توان از بلوبانک وام دریافت کرد؟,"[28, 18, 20, 32, 21, 16, 29, 30, 19, 17, 31]","[29, 20, 17, 19, 31]","[26, 20, 17, 18, 33]",0.42727272727272725
حداقل میانگین حساب برای دریافت وام از بلوبانک چقدر است؟,"[30, 34, 28, 17, 16, 19, 29, 25, 27, 26, 18, 35, 33]","[34, 18, 29, 17, 26]","[34, 18, 30, 17, 26]",0.3923076923076923
سقف وام‌های بلوبانک چقدر است؟,"[33, 36, 31, 12, 19, 34, 11, 30, 29, 13, 18, 35, 20]","[34, 35, 19, 30, 12]","[34, 35, 18, 30, 12]",0.3923076923076923
مدت زمان بازپرداخت وام‌های بلوبانک چقدر است؟,"[36, 27, 34, 26, 25, 23, 35, 22, 21, 28, 29, 33]","[34, 22, 35, 28, 26]","[34, 19, 35, 30, 26]",0.4083333333333333
آیا برای دریافت وام از بلوبانک نیاز به ضامن است؟,"[18, 27, 25, 14, 26, 15, 16, 24, 22, 13, 17, 23]","[17, 23, 14, 26, 16]","[17, 20, 14, 26, 16]",0.4083333333333334
چه نوع وثیقه‌ای برای دریافت وام از بلوبانک نیاز است؟,"[16, 19, 20, 27, 32, 33, 14, 34, 18, 21, 28, 29, 17, 13, 15]","[17, 20, 14, 28, 33]","[17, 20, 14, 26, 33]",0.16666666666666669
چگونه می‌توان اعتبارسنجی خود را در بلوبانک بهبود داد؟,"[9, 15, 28, 16, 17, 29, 33, 18, 14, 10, 32, 11, 34, 30]","[33, 10, 15, 29, 17]","[33, 10, 13, 26, 17]",0.17857142857142866
آیا امکان دریافت وام بدون داشتن حساب فعال در بلوبانک وجود دارد؟,"[15, 17, 13, 14, 29, 16, 27, 19, 28, 18]","[28, 17, 14, 18, 18]","[26, 17, 14, 16, 18]",0.4
فرآیند درخواست وام از بلوبانک چگونه است؟,"[15, 17, 19, 35, 22, 18, 36, 29, 16, 31, 21, 34, 30, 20]","[21, 16, 18, 30, 35]","[20, 16, 18, 30, 35]",0.17857142857142866
چگونه می‌توان وضعیت درخواست وام را در بلوبانک پیگیری کرد؟,"[28, 24, 22, 29, 27, 18, 23, 17, 16, 19, 20, 15]","[23, 28, 16, 19, 28]","[20, 26, 16, 19, 28]",0.16666666666666669
آیا بلوبانک نرخ بهره مشخصی برای وام‌ها دارد؟,"[19, 16, 17, 30, 14, 31, 13, 18, 29, 15]","[17, 18, 30, 14, 16]","[17, 18, 30, 13, 16]",0.55
آیا امکان تغییر شرایط بازپرداخت وام در بلوبانک وجود دارد؟,"[19, 18, 29, 15, 21, 31, 22, 25, 26, 20, 27, 30, 17, 16]","[19, 21, 30, 16, 26]","[19, 18, 30, 16, 26]",0.17857142857142866
آیا بلوبانک وام‌های بلندمدت ارائه می‌دهد؟,"[16, 21, 15, 18, 14, 17, 12, 20, 13, 19]","[20, 13, 17, 16, 14]","[18, 13, 17, 16, 14]",0.65
چه مدارکی برای درخواست وام در بلوبانک نیاز است؟,"[32, 15, 16, 22, 33, 19, 18, 21, 31, 23, 17]","[18, 17, 16, 32, 22]","[18, 17, 16, 30, 20]",0.5272727272727273
چگونه می‌توان از پیشنهادات ویژه وام‌های بلوبانک مطلع شد؟,"[35, 31, 13, 33, 34, 14, 12, 32]","[13, 33, 32, 34, 13]","[10, 33, 32, 34, 13]",0.55
آیا امکان دریافت وام دوم از بلوبانک پس از بازپرداخت وام اول وجود دارد؟,"[27, 19, 26, 25, 20, 18, 24, 17, 21, 23, 22]","[26, 20, 22, 18, 25]","[26, 17, 19, 18, 25]",0.42727272727272725
آیا بلوبانک برای دانشجویان نیز وام ارائه می‌دهد؟,"[14, 17, 12, 32, 18, 19, 33, 15, 34, 13, 16]","[13, 33, 17, 16, 18]","[10, 33, 17, 13, 18]",0.5272727272727273
چه عواملی می‌توانند باعث رد شدن درخواست وام در بلوبانک شوند؟,"[28, 25, 27, 31, 22, 29, 20, 30, 26, 17, 16, 15, 21]","[28, 21, 30, 26, 16]","[28, 18, 30, 26, 16]",0.1923076923076923
آیا بلوبانک طرح‌های تشویقی برای مشتریان وام‌گیرنده دارد؟,"[29, 35, 12, 27, 33, 14, 13, 28, 34, 20, 32, 18, 19]","[19, 33, 13, 28, 34]","[17, 33, 13, 28, 34]",0.3923076923076923
چگونه می‌توان از خدمات پشتیبانی بلوبانک در مورد وام‌ها استفاده کرد؟,"[24, 13, 18, 32, 28, 31, 29, 23, 17, 15, 16, 27, 22, 33, 14]","[14, 28, 32, 17, 23]","[14, 26, 32, 17, 20]",0.16666666666666669
