question,answer_correctness,context_precision,faithfulness,context_utilization,bert_score,meteor_score
چگونه می‌توان از بلوبانک وام دریافت کرد؟,0.224655552198573,0.99999999998,,0.99999999998,0.9022263,0.5222039473684211
حداقل میانگین حساب برای دریافت وام از بلوبانک چقدر است؟,0.2192428597348916,0.5333333333155555,0.0,0.99999999998,0.89040667,0.7549857549857552
سقف وام‌های بلوبانک چقدر است؟,0.2244631419940779,0.49999999995,0.0,0.5833333333041666,0.9017697,0.8179012345679013
مدت زمان بازپرداخت وام‌های بلوبانک چقدر است؟,0.2292247475481993,0.99999999998,1.0,0.99999999998,0.93177795,0.9294018770135873
آیا برای دریافت وام از بلوبانک نیاز به ضامن است؟,0.980120748147935,0.99999999998,0.0,0.99999999998,0.939615,0.9353298611111112
چه نوع وثیقه‌ای برای دریافت وام از بلوبانک نیاز است؟,0.2256772717883656,0.3333333333,0.0,0.0,0.94959164,0.28571428571428575
چگونه می‌توان اعتبارسنجی خود را در بلوبانک بهبود داد؟,0.2322421309555523,0.8874999999778125,0.5,0.99999999998,0.9437821,0.8504310344827586
آیا امکان دریافت وام بدون داشتن حساب فعال در بلوبانک وجود دارد؟,0.9921055586057308,0.99999999998,0.0,0.99999999998,0.9660212,0.9809396173032536
فرآیند درخواست وام از بلوبانک چگونه است؟,0.5968837591841583,0.99999999998,0.8333333333333334,0.99999999998,0.9269451,0.656155216114856
چگونه می‌توان وضعیت درخواست وام را در بلوبانک پیگیری کرد؟,0.6685955810307407,0.99999999998,0.75,0.99999999998,0.92568064,0.7361431870669746
آیا بلوبانک نرخ بهره مشخصی برای وام‌ها دارد؟,0.969066551316382,0.0,1.0,0.699999999965,0.9305722,0.640096618357488
آیا امکان تغییر شرایط بازپرداخت وام در بلوبانک وجود دارد؟,0.9913020851536084,0.99999999998,1.0,0.99999999998,0.98368436,0.9608843537414966
آیا بلوبانک وام‌های بلندمدت ارائه می‌دهد؟,0.8442540964330391,0.99999999998,1.0,0.99999999998,0.96314424,0.8736225895316806
چه مدارکی برای درخواست وام در بلوبانک نیاز است؟,0.8392962340959425,0.99999999998,,0.99999999998,0.94371843,0.8172514316181613
چگونه می‌توان از پیشنهادات ویژه وام‌های بلوبانک مطلع شد؟,0.4884128283787769,0.99999999998,1.0,0.6791666666496875,0.91980416,0.6027027027027027
آیا امکان دریافت وام دوم از بلوبانک پس از بازپرداخت وام اول وجود دارد؟,0.9928463202988784,0.99999999998,,0.99999999998,0.9678944,0.9500475389453668
آیا بلوبانک برای دانشجویان نیز وام ارائه می‌دهد؟,0.9971249689373538,0.6791666666496875,0.0,0.6791666666496875,0.98774415,0.9653916211293262
چه عواملی می‌توانند باعث رد شدن درخواست وام در بلوبانک شوند؟,0.8669090496405153,0.99999999998,1.0,0.99999999998,0.9488729,0.8099489795918368
آیا بلوبانک طرح‌های تشویقی برای مشتریان وام‌گیرنده دارد؟,0.6146152627651394,0.99999999998,0.8,0.99999999998,0.9138099,0.4986582409972299
چگونه می‌توان از خدمات پشتیبانی بلوبانک در مورد وام‌ها استفاده کرد؟,0.620592950274464,0.99999999998,1.0,0.99999999998,0.94940645,0.7799426598794688
