Question,searched chunks,expected top-k chunks to be searched,Top-K searched chunks
چگونه می‌توان از بلوبانک وام دریافت کرد؟,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43]","[29, 20, 17, 19, 31]","[26, 20, 17, 18, 33]"
حداقل میانگین حساب برای دریافت وام از بلوبانک چقدر است؟,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43]","[34, 18, 29, 17, 26]","[34, 18, 30, 17, 26]"
سقف وام‌های بلوبانک چقدر است؟,"[0, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 24, 26, 27, 28, 30, 32, 33, 34, 35, 36, 37]","[34, 35, 19, 30, 12]","[34, 35, 18, 30, 12]"
مدت زمان بازپرداخت وام‌های بلوبانک چقدر است؟,"[0, 6, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37]","[34, 22, 35, 28, 26]","[34, 19, 35, 30, 26]"
آیا برای دریافت وام از بلوبانک نیاز به ضامن است؟,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43]","[17, 23, 14, 26, 16]","[17, 20, 14, 26, 16]"
چه نوع وثیقه‌ای برای دریافت وام از بلوبانک نیاز است؟,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43]","[17, 20, 14, 28, 33]","[17, 20, 14, 26, 33]"
چگونه می‌توان اعتبارسنجی خود را در بلوبانک بهبود داد؟,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43]","[33, 10, 15, 29, 17]","[33, 10, 13, 26, 17]"
آیا امکان دریافت وام بدون داشتن حساب فعال در بلوبانک وجود دارد؟,"[0, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43]","[28, 17, 14, 18, 18]","[26, 17, 14, 16, 18]"
فرآیند درخواست وام از بلوبانک چگونه است؟,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43]","[21, 16, 18, 30, 35]","[20, 16, 18, 30, 35]"
چگونه می‌توان وضعیت درخواست وام را در بلوبانک پیگیری کرد؟,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43]","[23, 28, 16, 19, 28]","[20, 26, 16, 19, 28]"
