Question,overlap_accuracy,proximity_accuracy,partial_match_accuracy,precision,recall,f1_score,mrr
چگونه می‌توان از بلوبانک وام دریافت کرد؟,0.4,0.6166666666666667,0.5,0.4,0.4,0.4000000000000001,0.5
حداقل میانگین حساب برای دریافت وام از بلوبانک چقدر است؟,0.8,0.9,0.9,0.8,0.8,0.8000000000000002,1.0
سقف وام‌های بلوبانک چقدر است؟,0.8,0.9,0.9,0.8,0.8,0.8000000000000002,1.0
مدت زمان بازپرداخت وام‌های بلوبانک چقدر است؟,0.6,0.7166666666666667,0.6,0.6,0.6,0.6,1.0
آیا برای دریافت وام از بلوبانک نیاز به ضامن است؟,0.8,0.85,0.8,0.8,0.8,0.8000000000000002,1.0
چه نوع وثیقه‌ای برای دریافت وام از بلوبانک نیاز است؟,0.8,0.8666666666666668,0.8,0.8,0.8,0.8000000000000002,1.0
چگونه می‌توان اعتبارسنجی خود را در بلوبانک بهبود داد؟,0.6,0.7166666666666667,0.6,0.6,0.6,0.6,1.0
آیا امکان دریافت وام بدون داشتن حساب فعال در بلوبانک وجود دارد؟,0.6,0.7666666666666666,0.7,0.6,0.75,0.6666666666666665,0.5
فرآیند درخواست وام از بلوبانک چگونه است؟,0.8,0.9,0.9,0.8,0.8,0.8000000000000002,0.5
چگونه می‌توان وضعیت درخواست وام را در بلوبانک پیگیری کرد؟,0.6,0.7666666666666666,0.7,0.6,0.75,0.6666666666666665,0.3333333333333333
آیا بلوبانک نرخ بهره مشخصی برای وام‌ها دارد؟,0.8,0.9,0.9,0.8,0.8,0.8000000000000002,1.0
آیا امکان تغییر شرایط بازپرداخت وام در بلوبانک وجود دارد؟,0.8,0.9,0.9,0.8,0.8,0.8000000000000002,1.0
آیا بلوبانک وام‌های بلندمدت ارائه می‌دهد؟,0.8,0.9,0.9,0.8,0.8,0.8000000000000002,0.5
چه مدارکی برای درخواست وام در بلوبانک نیاز است؟,0.6,0.7333333333333334,0.6,0.6,0.6,0.6,1.0
چگونه می‌توان از پیشنهادات ویژه وام‌های بلوبانک مطلع شد؟,0.8,0.85,0.8,0.8,1.0,0.888888888888889,0.5
آیا امکان دریافت وام دوم از بلوبانک پس از بازپرداخت وام اول وجود دارد؟,0.6,0.8,0.8,0.6,0.6,0.6,1.0
آیا بلوبانک برای دانشجویان نیز وام ارائه می‌دهد؟,0.8,0.85,0.8,0.8,0.8,0.8000000000000002,0.5
چه عواملی می‌توانند باعث رد شدن درخواست وام در بلوبانک شوند؟,0.8,0.8666666666666666,0.8,0.8,0.8,0.8000000000000002,1.0
آیا بلوبانک طرح‌های تشویقی برای مشتریان وام‌گیرنده دارد؟,0.8,0.8666666666666666,0.8,0.8,0.8,0.8000000000000002,0.5
چگونه می‌توان از خدمات پشتیبانی بلوبانک در مورد وام‌ها استفاده کرد؟,0.6,0.7166666666666666,0.6,0.6,0.6,0.6,1.0
